Year,State,County,Number Unemployed,Percent Unemployed,Number of Crimes,Total Labor Force,Coordinates,Crimes per Capita,Number Unemployed for Area Counties (50 Miles),Unemployed Percent for Area Counties (50 Miles),Number of Crimes for Area Counties (50 Miles),Crime Percent for Area Counties (50 Miles),Coordinates for Area Counties (50 Miles),Total Area Counties (50 Miles),Highest Unemployment in Area (50 Miles),Lowest Unemployment in Area (50 Miles),Highest Crime Rate in Area (50 Miles),Lowest Crime Rate in Area (50 Miles),Average Crime Rate (50 Miles),Average Unemployment Rate (50 Miles)
2010,MN,Faribault,623.8333299999999,7.96667,332,7831.0833299999995,"(43.6448766, -93.9878427)",0.0424,"[412.25, 314.66667, 402.83333, 426.16667, 292.41667, 388.91667, 841.91667, 1636.83333, 790.75, 1319.83333, 460.75, 623.83333, 2427.25]","[7.025, 7.26667, 6.64167, 5.075, 6.01667, 6.68333, 7.31667, 7.79167, 7.48333, 7.725, 7.29167, 7.96667, 6.375]","[292, 222, 162, 256, 147, 50, 651, 1281, 607, 1137, 300, 332, 3794]","[0.04975, 0.05113, 0.02669, 0.03054, 0.03034, 0.00859, 0.05658, 0.06082, 0.05739, 0.06654, 0.04754, 0.0424, 0.09954]","['(43.34943, -94.6863782)', '(43.3580686, -93.33889169999999)', '(43.0387322, -93.66232389999999)', '(43.25133839999999, -94.2333355)', '(43.1580878, -94.645035)', '(43.3481922, -93.66232389999999)', '(43.6266807, -94.479976)', '(43.9758523, -93.17796589999999)', '(43.961388, -93.66232389999999)', '(43.6656285, -93.33889169999999)', '(43.9323091, -94.479976)', '(43.6448766, -93.9878427)', '(43.9505132, -93.9878427)']",13,True,False,False,False,0.04829615384615385,6.97371923076923
2010,MN,Clearwater,600.75,13.00833,470,4588.4166700000005,"(47.72007869999999, -95.3105661)",0.10243,"[966.91667, 1853.75, 206.91667, 231.66667, 600.75, 758.66667]","[9.95, 8.2, 8.26667, 9.525, 13.00833, 9.025]","[1155, 3309, 50, 40, 470, 373]","[0.11845, 0.14647, 0.01998, 0.01654, 0.10243, 0.04442]","['(47.1860527, -94.94114230000001)', '(48.0370038, -94.82892389999999)', '(47.3811737, -95.797516)', '(47.8770338, -96.13456409999999)', '(47.72007869999999, -95.3105661)', '(48.0391802, -96.075015)']",6,True,False,False,False,0.074715,9.6625
2010,MO,Iron,596.5,16.683329999999998,279,3573.4166700000005,"(37.5515182, -90.6773046)",0.07808,"[674.33333, 596.5, 599.58333, 307.16667, 663.75, 481.16667, 1371.91667, 360.33333, 588.41667, 12195.33333, 1469.41667]","[10.34167, 16.68333, 10.8, 11.53333, 12.15, 14.83333, 12.7, 15.14167, 10.075, 10.36667, 14.31667]","[698, 279, 407, 96, 280, 355, 1055, 166, 238, 9531, 697]","[0.10719, 0.07808, 0.07314, 0.036, 0.05131, 0.10947, 0.09759, 0.06965, 0.04074, 0.08108, 0.06796]","['(37.544666, -91.44346900000001)', '(37.5515182, -90.6773046)', '(37.0388739, -90.52578229999999)', '(36.9073725, -90.9438468)', '(37.5528602, -90.37483540000001)', '(37.2028249, -91.44346900000001)', '(38.0561057, -91.28910359999999)', '(37.378663, -90.9820668)', '(37.2115595, -90.0746767)', '(38.2310301, -90.52578229999999)', '(37.8907566, -90.8294002)']",11,True,False,False,False,0.07383727272727272,12.631060909090909
2010,MO,Linn,683.6666700000001,12.525,425,5449.5,"(39.8556605, -93.17796589999999)",0.07799,"[683.66667, 958.58333, 692.83333, 387.16667, 192.41667, 976.41667, 549.66667, 393.91667, 436.41667, 392.41667, 1245.08333, 259.16667, 583.08333]","[12.525, 8.65, 9.26667, 8.0, 8.06667, 8.90833, 11.45833, 9.825, 9.56667, 9.49167, 11.53333, 8.83333, 8.15]","[425, 1684, 590, 476, 46, 824, 203, 176, 356, 266, 1460, 178, 624]","[0.07799, 0.15195, 0.07886, 0.09841, 0.01927, 0.07504, 0.04233, 0.04389, 0.07806, 0.06443, 0.13528, 0.0606, 0.08732]","['(39.8556605, -93.17796589999999)', '(40.1993655, -92.539603)', '(39.871344, -92.539603)', '(40.1743786, -93.5003454)', '(40.4744901, -92.97755579999999)', '(39.1943564, -93.17796589999999)', '(39.5166572, -93.5003454)', '(39.9949074, -93.9878427)', '(39.6660775, -93.9878427)', '(39.5301517, -93.0175712)', '(39.4182626, -92.49999179999999)', '(40.1836505, -93.17796589999999)', '(39.8464073, -93.5003454)']",13,True,False,False,False,0.07795615384615384,9.559615384615384
2010,MO,Clark,430.0,12.4,160,3462.0833299999995,"(40.3772378, -91.7538817)",0.04621,"[1574.41667, 302.5, 826.0, 635.41667, 288.75, 1504.25, 2697.0, 1053.33333, 156.16667, 958.58333, 430.0, 443.83333, 1342.91667, 279.16667, 203.0, 185.83333]","[8.85833, 7.11667, 8.29167, 7.08333, 7.275, 7.46667, 7.73333, 10.58333, 7.775, 8.65, 12.4, 8.525, 9.1, 8.6, 10.35, 8.05]","[2352, 76, 829, 702, 188, 2824, 3559, 154, 214, 1684, 160, 273, 334, 192, 49, 121]","[0.13257, 0.01787, 0.08324, 0.07838, 0.04734, 0.1397, 0.10196, 0.01546, 0.1066, 0.15195, 0.04621, 0.05247, 0.02261, 0.05923, 0.025, 0.05249]","['(40.70686630000001, -91.44346900000001)', '(40.6913838, -92.38136209999999)', '(41.0283603, -91.5983959)', '(41.0236358, -91.9099238)', '(40.7001158, -91.9099238)', '(40.9123374, -91.17369939999999)', '(40.0577692, -91.13530200000001)', '(40.38493649999999, -91.13530200000001)', '(40.2058437, -92.2236667)', '(40.1993655, -92.539603)', '(40.3772378, -91.7538817)', '(40.0500853, -91.7538817)', '(39.8464028, -91.63721500000001)', '(39.8388716, -92.1057549)', '(40.4857709, -92.49999179999999)', '(40.4921465, -92.18432849999999)']",16,True,False,False,False,0.0708175,8.616145625
2010,MO,Taney,3627.5833299999995,14.016670000000001,4199,26074.75,"(36.6576378, -93.0175712)",0.16104000000000002,"[1293.33333, 1559.66667, 681.16667, 262.25, 925.08333, 1507.25, 422.83333, 2002.16667, 3627.58333, 637.41667, 1722.75, 3441.33333]","[7.825, 9.38333, 10.15, 6.925, 7.375, 9.65833, 11.74167, 13.91667, 14.01667, 12.18333, 10.51667, 8.41667]","[1844, 2083, 496, 224, 1469, 1649, 245, 1440, 4199, 402, 1022, 2895]","[0.11163, 0.12541, 0.07386, 0.0591, 0.11648, 0.1056, 0.06802, 0.09935, 0.16104, 0.07658, 0.06238, 0.07085]","['(36.3118662, -93.0175712)', '(36.3261815, -92.38136209999999)', '(36.3194702, -92.6983868)', '(35.9603994, -93.17796589999999)', '(36.2987495, -93.5003454)', '(36.6345264, -93.8248241)', '(36.6720061, -92.38136209999999)', '(36.7748882, -93.4599326)', '(36.6576378, -93.0175712)', '(36.9708648, -92.49999179999999)', '(37.3483339, -92.8577105)', '(36.99764400000001, -93.17796589999999)']",12,True,False,True,False,0.09419166666666666,10.175695
2010,MO,Barton,593.0833299999999,10.31667,425,5756.9166700000005,"(37.4748791, -94.315422)",0.07382000000000001,"[650.5, 980.5, 1683.75, 330.58333, 583.33333, 593.08333, 12069.0, 5008.0, 2584.16667, 791.41667, 1632.75]","[9.00833, 9.075, 8.69167, 9.71667, 9.54167, 10.31667, 8.34167, 8.48333, 8.99167, 8.26667, 9.29167]","[1099, 969, 3665, 137, 721, 425, 4461, 4067, 2847, 1642, 2466]","[0.15217, 0.08974, 0.18935, 0.04028, 0.11794, 0.07382, 0.03082, 0.0689, 0.09899, 0.17153, 0.14045]","['(37.7957092, -94.81059549999999)', '(37.1142482, -94.81059549999999)', '(37.45579900000001, -94.81059549999999)', '(37.48636090000001, -93.9878427)', '(37.7031209, -93.86553029999999)', '(37.4748791, -94.315422)', '(37.3311215, -93.5003454)', '(37.17455650000001, -94.35651299999999)', '(36.9618494, -94.315422)', '(37.8148489, -94.315422)', '(37.1500679, -93.8248241)']",11,True,False,False,False,0.10672636363636363,9.06591090909091
2010,MO,Monroe,505.08333,12.26667,216,4117.75,"(39.5508815, -92.0665197)",0.05246,"[156.16667, 808.25, 5970.83333, 443.83333, 692.83333, 494.83333, 437.25, 1342.91667, 505.08333, 279.16667, 1068.33333, 1853.08333, 1245.08333]","[7.775, 9.775, 6.44167, 8.525, 9.26667, 8.78333, 8.75833, 9.1, 12.26667, 8.6, 9.61667, 8.26667, 11.53333]","[214, 562, 11203, 273, 590, 388, 122, 334, 216, 192, 937, 2942, 1460]","[0.1066, 0.0682, 0.12104, 0.05247, 0.07886, 0.06886, 0.02439, 0.02261, 0.05246, 0.05923, 0.08414, 0.13147, 0.13528]","['(40.2058437, -92.2236667)', '(39.3964742, -91.28910359999999)', '(39.0468547, -92.38136209999999)', '(40.0500853, -91.7538817)', '(39.871344, -92.539603)', '(39.5582351, -91.5983959)', '(39.2064126, -92.6983868)', '(39.8464028, -91.63721500000001)', '(39.5508815, -92.0665197)', '(39.8388716, -92.1057549)', '(39.22195300000001, -91.9099238)', '(38.8886044, -91.9099238)', '(39.4182626, -92.49999179999999)']",13,True,False,False,False,0.07735461538461538,9.131410769230769
2010,MO,Morgan,1160.3333300000002,14.53333,858,7984.5,"(38.3661344, -92.8577105)",0.10745999999999999,"[2790.75, 884.16667, 2330.41667, 777.16667, 915.58333, 1526.5, 1160.33333, 1861.16667, 464.25, 1976.41667, 1466.66667, 624.5]","[6.85, 12.14167, 12.03333, 9.75833, 12.55833, 12.85833, 14.53333, 9.275, 12.65, 12.41667, 8.78333, 8.43333]","[909, 902, 1285, 909, 677, 890, 858, 3490, 269, 2563, 2044, 336]","[0.02234, 0.12372, 0.06604, 0.11418, 0.09294, 0.07506, 0.10746, 0.17381, 0.07316, 0.16101, 0.12235, 0.04543]","['(38.5052486, -92.2630393)', '(38.3534598, -93.33889169999999)', '(38.0322944, -92.6983868)', '(38.8693247, -92.8577105)', '(37.6853001, -93.0175712)', '(38.2081417, -92.38136209999999)', '(38.3661344, -92.8577105)', '(38.6893153, -93.33889169999999)', '(37.9747242, -93.29861059999999)', '(37.6965235, -92.539603)', '(37.8727481, -92.2236667)', '(38.5827118, -92.5792482)']",12,True,False,False,False,0.098125,11.024304166666667
2010,MO,Dunklin,1657.1666699999998,13.483329999999999,1971,12289.0,"(36.2364268, -90.055447)",0.16039,"[819.58333, 1914.75, 3546.5, 2527.75, 1796.33333, 1657.16667, 899.41667, 1421.25, 818.66667]","[10.98333, 9.74167, 7.43333, 12.51667, 9.55833, 13.48333, 12.48333, 10.45, 9.96667]","[296, 4150, 7658, 4911, 4107, 1971, 1674, 1288, 288]","[0.03958, 0.21085, 0.16023, 0.24318, 0.21886, 0.16039, 0.23234, 0.09465, 0.03502]","['(36.3492244, -90.37483540000001)', '(36.1314931, -90.563609)', '(35.8260959, -90.6773046)', '(35.8279728, -90.0746767)', '(36.6951341, -90.37483540000001)', '(36.2364268, -90.055447)', '(36.2195399, -89.81303559999999)', '(36.8680558, -89.9253233)', '(36.5227538, -89.77553379999999)']",9,True,False,False,False,0.1550111111111111,10.735184444444444
2010,MO,Lincoln,3148.25,11.78333,1677,26706.41667,"(39.0669568, -90.9820668)",0.06279,"[727.83333, 251.25, 632.91667, 1062.58333, 251.0, 808.25, 494.83333, 1897.91667, 3148.25, 6058.91667, 673.0]","[8.96667, 8.74167, 9.28333, 9.15833, 10.03333, 9.775, 8.78333, 10.99167, 11.78333, 11.33333, 11.14167]","[62, 70, 263, 926, 136, 562, 388, 1481, 1677, 4029, 334]","[0.00763, 0.02426, 0.03858, 0.07974, 0.05443, 0.0682, 0.06886, 0.0858, 0.06279, 0.07537, 0.05524]","['(39.5662363, -90.8294002)', '(39.6094934, -90.4879916)', '(39.4029862, -90.37483540000001)', '(39.0704754, -90.37483540000001)', '(39.1733216, -90.658333)', '(39.3964742, -91.28910359999999)', '(39.5582351, -91.5983959)', '(38.7313284, -91.13530200000001)', '(39.0669568, -90.9820668)', '(38.3953601, -91.13530200000001)', '(38.9365599, -91.4821482)']",11,True,False,False,False,0.05644545454545455,9.999241818181817
2010,MS,Holmes,1342.1666699999998,19.6,42,6848.1666700000005,"(33.16886600000001, -90.0746767)",0.00613,"[887.83333, 1212.41667, 997.75, 1342.16667, 503.91667, 444.33333, 1090.83333, 1778.83333, 3598.16667, 299.33333, 599.75, 1520.66667, 644.25]","[9.68333, 12.24167, 12.55833, 19.6, 13.15833, 11.85, 11.58333, 15.34167, 7.4, 14.525, 17.25833, 15.425, 13.79167]","[226, 848, 455, 42, 177, 196, 1544, 3204, 2802, 26, 36, 1504, 88]","[0.02463, 0.08554, 0.0572, 0.00613, 0.04617, 0.05204, 0.16368, 0.27611, 0.05752, 0.01262, 0.01034, 0.15241, 0.01882]","['(32.8073509, -89.4742177)', '(32.8078912, -90.37483540000001)', '(33.1683267, -89.62516459999999)', '(33.16886600000001, -90.0746767)', '(33.5279848, -89.9253233)', '(33.3914427, -89.28472510000002)', '(33.7516314, -89.81303559999999)', '(33.5274427, -90.37483540000001)', '(32.6729459, -90.0373201)', '(32.9860902, -90.8294002)', '(33.1677834, -90.52578229999999)', '(33.526164, -90.6773046)', '(33.5274427, -89.62516459999999)']",13,True,False,False,True,0.07409307692307693,13.416666153846155
2010,MS,Jasper,859.41667,12.26667,48,7013.8333299999995,"(32.0810429, -89.1705998)",0.006840000000000001,"[2548.33333, 1082.08333, 859.41667, 927.0, 4855.91667, 1226.83333, 1068.16667, 833.0, 3521.58333]","[9.125, 7.98333, 12.26667, 10.08333, 6.88333, 10.38333, 9.41667, 10.13333, 10.65833]","[4419, 692, 48, 16, 4202, 998, 690, 468, 6450]","[0.1582, 0.05107, 0.00684, 0.00174, 0.0593, 0.08453, 0.06067, 0.05683, 0.19509]","['(31.5343241, -89.1705998)', '(32.4456315, -89.4742177)', '(32.0810429, -89.1705998)', '(32.4440058, -89.1705998)', '(32.2653668, -89.9253233)', '(32.8057157, -89.1705998)', '(31.9017736, -89.9253233)', '(31.6732735, -89.5874819)', '(32.4401578, -88.7108964)']",9,True,False,False,False,0.0749188888888889,9.659257777777778
2010,MS,Tippah,1214.25,13.541670000000002,216,8990.83333,"(34.76880970000001, -88.86469799999999)",0.02402,"[4067.66667, 1324.08333, 1214.25, 1167.08333, 1871.25, 1391.5, 1368.58333, 2019.16667, 995.83333]","[10.40833, 10.9, 13.54167, 11.275, 12.08333, 10.19167, 11.80833, 9.34167, 12.75833]","[5372, 669, 216, 182, 853, 53, 810, 1108, 242]","[0.13711, 0.05512, 0.02402, 0.01758, 0.05504, 0.00388, 0.06981, 0.05118, 0.03098]","['(34.2354138, -88.7108964)', '(34.459946, -88.9796776)', '(34.76880970000001, -88.86469799999999)', '(34.2317882, -88.4016041)', '(34.7729491, -89.4742177)', '(34.2382446, -89.0179332)', '(34.6324369, -88.5178518)', '(34.4186994, -89.4742177)', '(34.7615024, -88.24611829999999)']",9,True,False,False,False,0.04941333333333334,11.367592222222223
