,Year,State,County,Number Unemployed,Percent Unemployed,Number of Crimes,Total Labor Force,Coordinates,Crimes per Capita,Number Unemployed for Area Counties (50 Miles),Unemployed Percent for Area Counties (50 Miles),Number of Crimes for Area Counties (50 Miles),Crime Percent for Area Counties (50 Miles),Coordinates for Area Counties (50 Miles),Total Area Counties (50 Miles),Highest Unemployment in Area (50 Miles),Lowest Unemployment in Area (50 Miles),Highest Crime Rate in Area (50 Miles),Lowest Crime Rate in Area (50 Miles)
5,2015,AL,Lee,3719.08333,5.25,6934,70858.83333,"(32.5888702, -85.39627689999999)",0.09786,"[3719.08333, 641.08333, 1845.83333, 379.08333, 1429.58333, 905.58333, 556.91667, 1141.91667, 2161.75, 822.08333, 146.0, 5883.5, 184.83333]","[5.25, 8.05, 5.025, 7.925, 5.95, 6.05833, 5.90833, 6.08333, 6.08333, 5.25, 6.90833, 7.45, 8.74167]","[6934, 1475, 3396, 472, 880, 2597, 706, 2472, 5647, 708, 18, 24973, 9]","[0.09786, 0.18513, 0.09243, 0.09881, 0.03651, 0.17343, 0.07484, 0.13191, 0.15863, 0.04509, 0.00851, 0.31652, 0.00427]","['(32.5888702, -85.39627689999999)', '(32.3731182, -85.684578)', '(32.5647083, -86.0121573)', '(32.0573536, -85.7256372)', '(32.3552497, -85.1894045)', '(32.9028048, -85.35496499999999)', '(33.2681523, -85.52002399999999)', '(32.9201244, -85.84862360000001)', '(33.0698575, -85.02334599999999)', '(32.7032697, -84.8567932)', '(32.1141344, -84.8150781)', '(32.4794133, -84.8984775)', '(32.2952274, -84.8150781)']",13,False,False,False,False
11,2015,AL,Bibb,567.33333,6.625,385,8572.33333,"(32.9562798, -87.14228949999999)",0.04491,"[567.33333, 470.33333, 347.5, 1494.66667, 318.58333, 4555.41667, 1330.33333, 1079.25, 17924.58333, 5384.91667]","[6.625, 7.78333, 9.96667, 9.575, 11.08333, 4.20833, 5.19167, 5.63333, 5.75833, 5.45]","[385, 88, 110, 3629, 302, 5516, 841, 2647, 26021, 15115]","[0.04491, 0.01455, 0.03157, 0.2328, 0.10495, 0.05098, 0.03285, 0.13834, 0.0837, 0.15288]","['(32.9562798, -87.14228949999999)', '(32.7859102, -87.6186379)', '(32.598888, -87.30161319999999)', '(32.2332138, -87.14228949999999)', '(32.9718107, -87.9334803)', '(33.3039292, -86.6611083)', '(32.5791817, -86.49965460000001)', '(32.944392, -86.6611083)', '(33.4914122, -86.9824288)', '(33.3227653, -87.460397)']",10,False,False,False,False
17,2015,AL,Clay,340.16667,6.125,273,5548.25,"(33.279527, -85.84862360000001)",0.0492,"[340.16667, 295.75, 4555.41667, 3231.41667, 905.58333, 342.25, 556.91667, 2309.5, 1141.91667, 315.5, 2161.75, 3477.75]","[6.125, 6.68333, 4.20833, 7.03333, 6.05833, 6.025, 5.90833, 6.55, 6.08333, 6.43333, 6.08333, 6.70833]","[273, 400, 5516, 7579, 2597, 365, 706, 6979, 2472, 324, 5647, 6561]","[0.0492, 0.09039, 0.05098, 0.16508, 0.17343, 0.06429, 0.07484, 0.19864, 0.13191, 0.06596, 0.15863, 0.12668]","['(33.279527, -85.84862360000001)', '(32.8897772, -86.2196937)', '(33.3039292, -86.6611083)', '(33.7701576, -85.80766)', '(32.9028048, -85.35496499999999)', '(33.6261707, -85.52002399999999)', '(33.2681523, -85.52002399999999)', '(33.4231716, -86.1344697)', '(32.9201244, -85.84862360000001)', '(33.2990406, -85.14793639999999)', '(33.0698575, -85.02334599999999)', '(33.5642239, -85.0649071)']",12,False,False,False,True
23,2015,AL,Dale,1261.66667,6.35833,2641,19836.5,"(31.4645298, -85.684578)",0.13314,"[1261.66667, 983.16667, 456.41667, 1207.0, 637.83333, 764.66667, 379.08333, 2782.66667, 380.5, 1104.08333, 412.08333, 302.41667, 55.91667]","[6.35833, 6.58333, 6.8, 5.95833, 5.90833, 8.875, 7.925, 6.25, 6.0, 7.15, 6.15, 6.93333, 6.86667]","[2641, 2528, 740, 812, 1339, 1343, 472, 1643, 610, 2219, 506, 416, 106]","[0.13314, 0.16922, 0.11019, 0.04006, 0.12415, 0.156, 0.09881, 0.03688, 0.096, 0.14356, 0.07561, 0.09544, 0.1298]","['(31.4645298, -85.684578)', '(31.8395163, -86.0121573)', '(31.4469377, -85.1894045)', '(31.4751172, -86.0121573)', '(31.0990456, -85.684578)', '(31.8172896, -85.35496499999999)', '(32.0573536, -85.7256372)', '(31.1318686, -85.31362179999999)', '(31.6671872, -86.3376761)', '(31.3066438, -86.49965460000001)', '(30.8740806, -85.80766)', '(31.3901106, -84.8984775)', '(31.8485969, -84.981754)']",13,False,False,False,False
29,2015,AL,Hale,470.33333,7.78333,88,6047.58333,"(32.7859102, -87.6186379)",0.01455,"[567.33333, 470.33333, 347.5, 1494.66667, 318.58333, 407.58333, 566.5, 541.58333, 5384.91667]","[6.625, 7.78333, 9.96667, 9.575, 11.08333, 7.98333, 7.64167, 6.775, 5.45]","[385, 88, 110, 3629, 302, 351, 1190, 238, 15115]","[0.04491, 0.01455, 0.03157, 0.2328, 0.10495, 0.06873, 0.16069, 0.02972, 0.15288]","['(32.9562798, -87.14228949999999)', '(32.7859102, -87.6186379)', '(32.598888, -87.30161319999999)', '(32.2332138, -87.14228949999999)', '(32.9718107, -87.9334803)', '(32.6155551, -88.24611829999999)', '(32.2459085, -87.77633329999999)', '(33.3339954, -88.0900762)', '(33.3227653, -87.460397)']",9,False,False,False,True
35,2015,AL,Pike,983.16667,6.58333,2528,14939.08333,"(31.8395163, -86.0121573)",0.16922,"[1261.66667, 983.16667, 641.08333, 693.91667, 1207.0, 1845.83333, 764.66667, 379.08333, 441.58333, 380.5, 1104.08333, 6407.91667]","[6.35833, 6.58333, 8.05, 7.58333, 5.95833, 5.025, 8.875, 7.925, 11.53333, 6.0, 7.15, 6.1]","[2641, 2528, 1475, 1385, 812, 3396, 1343, 472, 495, 610, 2219, 19258]","[0.13314, 0.16922, 0.18513, 0.15164, 0.04006, 0.09243, 0.156, 0.09881, 0.12936, 0.096, 0.14356, 0.18332]","['(31.4645298, -85.684578)', '(31.8395163, -86.0121573)', '(32.3731182, -85.684578)', '(31.6760284, -86.6611083)', '(31.4751172, -86.0121573)', '(32.5647083, -86.0121573)', '(31.8172896, -85.35496499999999)', '(32.0573536, -85.7256372)', '(32.221464, -86.6611083)', '(31.6671872, -86.3376761)', '(31.3066438, -86.49965460000001)', '(32.2077447, -86.17517590000001)']",12,False,False,False,False
41,2015,AL,Coosa,295.75,6.68333,400,4425.5,"(32.8897772, -86.2196937)",0.09039,"[340.16667, 295.75, 641.08333, 1845.83333, 4555.41667, 1330.33333, 1079.25, 556.91667, 2309.5, 6407.91667, 1141.91667]","[6.125, 6.68333, 8.05, 5.025, 4.20833, 5.19167, 5.63333, 5.90833, 6.55, 6.1, 6.08333]","[273, 400, 1475, 3396, 5516, 841, 2647, 706, 6979, 19258, 2472]","[0.0492, 0.09039, 0.18513, 0.09243, 0.05098, 0.03285, 0.13834, 0.07484, 0.19864, 0.18332, 0.13191]","['(33.279527, -85.84862360000001)', '(32.8897772, -86.2196937)', '(32.3731182, -85.684578)', '(32.5647083, -86.0121573)', '(33.3039292, -86.6611083)', '(32.5791817, -86.49965460000001)', '(32.944392, -86.6611083)', '(33.2681523, -85.52002399999999)', '(33.4231716, -86.1344697)', '(32.2077447, -86.17517590000001)', '(32.9201244, -85.84862360000001)']",11,False,False,False,False
47,2015,AL,Henry,456.41667,6.8,740,6715.83333,"(31.4469377, -85.1894045)",0.11019,"[1261.66667, 456.41667, 1207.0, 637.83333, 764.66667, 2782.66667, 302.41667, 145.0, 132.25, 55.91667, 270.58333, 220.58333, 249.83333]","[6.35833, 6.8, 5.95833, 5.90833, 8.875, 6.25, 6.93333, 5.43333, 6.225, 6.86667, 7.45833, 9.10833, 8.08333]","[2641, 740, 812, 1339, 1343, 1643, 416, 138, 12, 106, 588, 226, 346]","[0.13314, 0.11019, 0.04006, 0.12415, 0.156, 0.03688, 0.09544, 0.05166, 0.00564, 0.1298, 0.16192, 0.09319, 0.11197]","['(31.4645298, -85.684578)', '(31.4469377, -85.1894045)', '(31.4751172, -86.0121573)', '(31.0990456, -85.684578)', '(31.8172896, -85.35496499999999)', '(31.1318686, -85.31362179999999)', '(31.3901106, -84.8984775)', '(31.2008218, -84.7315563)', '(31.5621777, -84.6479124)', '(31.8485969, -84.981754)', '(31.7370079, -84.4802606)', '(31.7913398, -84.68974949999999)', '(30.9331429, -84.8984775)']",13,False,False,False,False
53,2015,AL,Lamar,354.75,6.30833,286,5615.0,"(33.6923649, -88.0900762)",0.05093,"[354.75, 867.58333, 1846.41667, 450.66667, 541.58333, 5384.91667, 767.58333, 1141.25, 1764.41667, 583.75]","[6.30833, 6.95, 7.24167, 7.00833, 6.775, 5.45, 9.56667, 7.35833, 7.01667, 5.70833]","[286, 882, 5456, 347, 238, 15115, 801, 879, 346, 684]","[0.05093, 0.07066, 0.21345, 0.05404, 0.02972, 0.15288, 0.0999, 0.05677, 0.01377, 0.06699]","['(33.6923649, -88.0900762)', '(34.0441174, -87.77633329999999)', '(33.8563605, -87.30161319999999)', '(33.6871392, -87.77633329999999)', '(33.3339954, -88.0900762)', '(33.3227653, -87.460397)', '(33.65678380000001, -88.8263006)', '(33.8773585, -88.55653099999999)', '(33.473423, -88.4403883)', '(34.2317882, -88.4016041)']",10,False,False,False,False
59,2015,AL,Macon,641.08333,8.05,1475,7967.41667,"(32.3731182, -85.684578)",0.18513,"[3719.08333, 983.16667, 295.75, 641.08333, 1845.83333, 1330.33333, 764.66667, 379.08333, 1429.58333, 905.58333, 6407.91667, 1141.91667, 5883.5]","[5.25, 6.58333, 6.68333, 8.05, 5.025, 5.19167, 8.875, 7.925, 5.95, 6.05833, 6.1, 6.08333, 7.45]","[6934, 2528, 400, 1475, 3396, 841, 1343, 472, 880, 2597, 19258, 2472, 24973]","[0.09786, 0.16922, 0.09039, 0.18513, 0.09243, 0.03285, 0.156, 0.09881, 0.03651, 0.17343, 0.18332, 0.13191, 0.31652]","['(32.5888702, -85.39627689999999)', '(31.8395163, -86.0121573)', '(32.8897772, -86.2196937)', '(32.3731182, -85.684578)', '(32.5647083, -86.0121573)', '(32.5791817, -86.49965460000001)', '(31.8172896, -85.35496499999999)', '(32.0573536, -85.7256372)', '(32.3552497, -85.1894045)', '(32.9028048, -85.35496499999999)', '(32.2077447, -86.17517590000001)', '(32.9201244, -85.84862360000001)', '(32.4794133, -84.8984775)']",13,False,False,False,False
