,Year,State,County,Average Number Unemployed,Average Percent Unemployed,Number of Crimes,Total Labor Force,Crimes Per 100 Workers
1496,2012,GA,clinch,282.6666667,9.7,569,2916.583333,19.509128834482027
1497,2013,GA,clinch,259.3333333,9.158333333,573,2830.166667,20.24615746772909
1498,2014,GA,clinch,235.66666669999998,8.341666667,558,2825.833333,19.746387498643042
1499,2015,GA,clinch,194.58333330000002,7.016666667000001,500,2773.333333,18.02884615601308
1500,2010,GA,coffee,2717.75,15.8,2158,17201.5,12.545417550794987
1501,2011,GA,coffee,2268.75,12.875,1940,17605.16667,11.019492381778173
1502,2012,GA,coffee,1993.5833329999998,11.39166667,4357,17476.08333,24.93121552310657
1503,2013,GA,coffee,1737.3333329999998,9.925,3780,17509.66667,21.588075154374142
1504,2014,GA,coffee,1428.25,8.091666667,4317,17633.75,24.48146310342383
1505,2015,GA,coffee,1162.0,6.716666667,3702,17291.08333,21.409878891607885
1506,2010,GA,coweta,6223.666667,9.683333333,6008,64319.083329999994,9.340929144115648
1507,2011,GA,coweta,5885.583333,9.05,6348,65008.833329999994,9.764826831726193
1508,2012,GA,coweta,5222.166667,7.966666667,5797,65493.166670000006,8.851305097536825
1509,2013,GA,coweta,4594.0,6.9916666670000005,6007,65809.91667,9.127803686671951
1510,2014,GA,coweta,4075.25,6.125,5659,66501.25,8.509614480930809
1511,2015,GA,coweta,3602.083333,5.308333333,5394,67858.91667,7.948844845595144
1512,2010,GA,dekalb,39313.5,10.825,77708,363000.25,21.40714779122053
1513,2011,GA,dekalb,38666.83333,10.54166667,77569,366603.0833,21.158850957214522
1514,2012,GA,dekalb,34832.16667,9.4,79249,370150.4167,21.40994482905846
1515,2013,GA,dekalb,31056.41667,8.425,81337,368650.3333,22.063454892853613
1516,2014,GA,dekalb,26582.5,7.208333333,87318,368716.5833,23.681603690972366
1517,2015,GA,dekalb,22495.41667,6.025,73762,373115.6667,19.76920472205945
1518,2010,GA,echols,153.5,8.183333333,106,1875.4166670000002,5.652077315147375
1519,2011,GA,echols,152.0,8.075,78,1879.1666670000002,4.150776052478798
1520,2012,GA,echols,133.1666667,7.3833333329999995,92,1806.6666670000002,5.092250921569695
1521,2013,GA,echols,113.16666670000001,6.358333332999999,20,1780.1666670000002,1.1234903096857052
1522,2014,GA,echols,103.91666670000001,5.825,60,1782.9166670000002,3.3652722592446325
1523,2015,GA,echols,86.91666667,4.658333333,66,1865.8333329999998,3.537293435200946
1524,2010,GA,gilmer,1445.25,11.28333333,892,12810.91667,6.962811662719213
1525,2011,GA,gilmer,1454.666667,11.75833333,938,12371.33333,7.582044513548
1526,2012,GA,gilmer,1284.0,10.56666667,1222,12158.08333,10.050926341199867
1527,2013,GA,gilmer,1069.75,8.983333333,990,11906.25,8.31496062992126
1528,2014,GA,gilmer,864.8333332999998,7.225,1186,11962.33333,9.91445370466031
1529,2015,GA,gilmer,707.3333332999999,6.025,1078,11723.08333,9.195533032178831
1530,2010,GA,greene,845.25,13.19166667,996,6412.583333,15.531961898638457
1531,2011,GA,greene,787.0833332999999,12.34166667,1028,6378.75,16.116010190084264
1532,2012,GA,greene,711.75,11.09166667,1000,6420.166667,15.57591962744602
1533,2013,GA,greene,629.25,9.908333333,936,6350.583333,14.738803522759788
1534,2014,GA,greene,523.6666667,8.133333333,734,6423.75,11.426347538431601
1535,2015,GA,greene,451.08333330000005,6.608333332999999,590,6826.916667,8.642261635504449
1536,2010,GA,harris,1265.833333,7.716666667,856,16414.75,5.214822035059931
1537,2011,GA,harris,1215.166667,7.408333333,602,16399.25,3.670899583822431
1538,2012,GA,harris,1172.916667,7.208333333,476,16275.083330000001,2.924716207889302
1539,2013,GA,harris,1033.583333,6.533333333,572,15809.333330000001,3.6181158816770926
1540,2014,GA,harris,935.3333332999998,5.933333332999999,458,15723.666669999999,2.9128065966562495
1541,2015,GA,harris,822.0833332999999,5.25,708,15700.416669999999,4.509434462034568
1542,2010,GA,jasper,804.0,11.69166667,486,6872.833333,7.0713194464714375
1543,2011,GA,jasper,748.5,11.01666667,732,6795.916667,10.771173866131809
1544,2012,GA,jasper,652.6666667000001,9.775,466,6665.166667,6.99157310359873
1545,2013,GA,jasper,538.8333332999999,8.258333333,306,6514.0,4.697574455019957
1546,2014,GA,jasper,420.5,6.6333333329999995,482,6350.833333,7.589555176884375
1547,2015,GA,jasper,355.3333333,5.5083333329999995,478,6441.75,7.420343850661699
1548,2010,GA,lanier,408.0833333,10.53333333,208,3871.833333,5.37213206537576
1549,2011,GA,lanier,414.5,10.48333333,490,3950.75,12.402708346516485
1550,2012,GA,lanier,366.0833333,9.358333333,486,3910.0,12.429667519181585
1551,2013,GA,lanier,329.5,8.566666667,578,3843.166667,15.039680817464793
1552,2014,GA,lanier,304.6666667,8.033333333,486,3791.166667,12.819272870020725
1553,2015,GA,lanier,252.0,6.658333333,482,3782.166667,12.744017977989333
1554,2010,GA,miller,290.6666667,10.35833333,182,2803.083333,6.49285013603982
1555,2011,GA,miller,251.0,9.166666667000001,140,2737.416667,5.114310937305329
1556,2012,GA,miller,220.66666669999998,8.158333333,269,2699.833333,9.963577999872038
1557,2013,GA,miller,193.25,7.275,236,2654.833333,8.889446921826787
1558,2014,GA,miller,168.66666669999998,6.325,334,2674.166667,12.48987223278406
1559,2015,GA,miller,145.0,5.433333332999999,138,2671.25,5.1661207299953205
1560,2010,GA,monroe,1278.0,10.18333333,1215,12551.33333,9.680246457130783
1561,2011,GA,monroe,1236.25,9.691666667,1489,12738.83333,11.68866851011701
1562,2012,GA,monroe,1109.083333,8.641666667,1126,12821.25,8.782295018036463
1563,2013,GA,monroe,1025.5,8.025,1339,12767.08333,10.487908360820576
1564,2014,GA,monroe,849.0833332999998,6.675,1468,12728.91667,11.532796058441004
1565,2015,GA,monroe,736.3333332999999,5.816666667000001,1294,12670.66667,10.212564450643859
1566,2010,GA,oconee,1202.083333,7.1333333329999995,1411,16837.33333,8.380186887943495
1567,2011,GA,oconee,1183.0,7.0,1193,16909.5,7.05520565362666
1568,2012,GA,oconee,1075.583333,6.316666667000001,1061,17067.75,6.216402279152202
1569,2013,GA,oconee,958.3333332999998,5.6,1132,17094.91667,6.6218515237723015
1570,2014,GA,oconee,870.6666667000002,5.05,1092,17259.25,6.3270420209452904
1571,2015,GA,oconee,777.6666667000001,4.441666667,1248,17591.75,7.094234513337218
1572,2010,GA,pierce,858.0833332999998,10.425,718,8244.833333,8.708484101506336
1573,2011,GA,pierce,863.0,10.65833333,412,8098.5,5.087361857134037
1574,2012,GA,pierce,787.5,9.441666667,868,8337.0,10.411418975650713
1575,2013,GA,pierce,696.1666667000001,8.516666667,570,8159.583333,6.985650819873795
1576,2014,GA,pierce,601.25,7.433333332999999,522,8087.25,6.454604469999073
1577,2015,GA,pierce,501.5,6.2416666670000005,899,8045.916667,11.173369514094173
1578,2010,GA,putnam,1170.333333,12.925,1232,9053.333333,13.608247423181453
1579,2011,GA,putnam,1126.333333,12.96666667,1404,8667.416667,16.198598197609876
1580,2012,GA,putnam,955.6666667000002,11.51666667,1237,8291.75,14.91844303072331
1581,2013,GA,putnam,839.75,10.3,1409,8142.833333,17.303559367840986
1582,2014,GA,putnam,728.0,8.991666667,1612,8088.333333,19.929940243969916
1583,2015,GA,putnam,629.5833332999999,8.066666667,1448,7801.583333,18.560334975531052
1584,2010,GA,sumter,1892.3333329999998,13.28333333,3653,14262.083330000001,25.61336878684469
1585,2011,GA,sumter,1750.0,12.55833333,3811,13932.916669999999,27.35249259191902
1586,2012,GA,sumter,1660.25,11.9,3690,13960.333330000001,26.432033625374757
1587,2013,GA,sumter,1510.916667,11.26666667,3653,13415.66667,27.229358703200397
1588,2014,GA,sumter,1268.583333,9.45,3648,13433.583330000001,27.155822168856858
1589,2015,GA,sumter,1066.25,8.308333333,2821,12831.91667,21.98424500834917
1590,2010,GA,taylor,471.08333330000005,14.475,198,3255.5,6.08201505145139
1591,2011,GA,taylor,458.83333330000005,14.41666667,222,3179.0,6.983328090594526
1592,2012,GA,taylor,416.75,13.38333333,281,3116.083333,9.017730592251782
1593,2013,GA,taylor,370.3333333,11.75,287,3173.666667,9.04316773353186
1594,2014,GA,taylor,289.5,10.16666667,233,2845.583333,8.188127801351582
1595,2015,GA,taylor,254.41666669999998,9.183333333,188,2773.083333,6.779457283622857
1596,2010,GA,thomas,2009.5833329999998,11.25,3110,17884.0,17.389845672109146
1597,2011,GA,thomas,1901.4166670000002,10.375,3693,18338.33333,20.13814414616707
1598,2012,GA,thomas,1790.5833329999998,9.683333333,3809,18486.5,20.604224704514102
1599,2013,GA,thomas,1605.0,9.016666667,3957,17803.25,22.226278909749624
1600,2014,GA,thomas,1493.5,8.7,3974,17144.58333,23.179332641150864
1601,2015,GA,thomas,1214.916667,7.225,3546,16814.75,21.088627544269166
1602,2010,GA,toombs,1511.083333,12.28333333,593,12303.08333,4.819929964661957
1603,2011,GA,toombs,1666.75,13.38333333,604,12433.0,4.858039089519826
1604,2012,GA,toombs,1471.583333,11.75,399,12517.0,3.1876647759047696
1605,2013,GA,toombs,1406.833333,10.98333333,398,12790.16667,3.1117655482436337
1606,2014,GA,toombs,1202.083333,9.833333332999999,408,12233.25,3.3351725829195025
1607,2015,GA,toombs,1035.166667,8.716666667,0,11864.16667,0.0
1608,2010,GA,turner,585.9166667000001,16.59166667,448,3529.5,12.693016007933137
1609,2011,GA,turner,513.5,14.275,643,3597.75,17.872281286915435
1610,2012,GA,turner,404.5833333,11.68333333,551,3459.583333,15.92677345691213
1611,2013,GA,turner,332.75,9.966666667,682,3335.833333,20.44466650216784
1612,2014,GA,turner,257.75,7.916666667,2532,3257.166667,77.73627384969183
1613,2015,GA,turner,216.08333330000002,6.775,400,3192.333333,12.530019840506423
1614,2010,GA,twiggs,504.58333330000005,15.46666667,356,3264.583333,10.904913849230878
1615,2011,GA,twiggs,503.5,15.46666667,366,3254.833333,11.244815403885996
1616,2012,GA,twiggs,471.66666669999995,14.86666667,359,3173.666667,11.31183699072452
1617,2013,GA,twiggs,429.0,13.73333333,288,3121.666667,9.225840895971613
1618,2014,GA,twiggs,331.5,11.05833333,312,2995.25,10.416492780235373
1619,2015,GA,twiggs,270.0,9.116666667,305,2964.833333,10.287256170699562
1620,2010,GA,walker,3191.583333,10.29166667,4114,30979.08333,13.279928124974639
1621,2011,GA,walker,3038.5,9.783333333,3745,31063.91667,12.055788198842087
1622,2012,GA,walker,2778.25,8.983333333,4115,30923.5,13.307031868966968
1623,2013,GA,walker,2433.416667,8.066666667,5956,30158.08333,19.749265677222997
1624,2014,GA,walker,2110.833333,7.175,11286,29396.08333,38.3928698027677
1625,2015,GA,walker,1754.4166670000002,5.975,3868,29400.0,13.156462585034012
1626,2010,GA,wilcox,364.75,12.41666667,202,2934.916667,6.8826485695922495
1627,2011,GA,wilcox,375.1666667,12.78333333,246,2932.916667,8.387555049480033
1628,2012,GA,wilcox,333.9166667,11.63333333,280,2866.666667,9.767441859329368
1629,2013,GA,wilcox,312.6666667,11.075,399,2818.416667,14.156884774056724
1630,2014,GA,wilcox,258.5,9.1,162,2840.416667,5.703388586685828
1631,2015,GA,wilcox,215.25,7.841666667,173,2743.166667,6.306579985867115
1632,2010,GA,wilkes,531.4166667,13.225,54,4017.666667,1.3440637184647752
1633,2011,GA,wilkes,547.0,13.90833333,130,3931.416667,3.306696059240164
1634,2012,GA,wilkes,469.0,12.20833333,64,3841.333333,1.6660881639765783
1635,2013,GA,wilkes,417.5833333,11.175,50,3737.5,1.3377926421404682
1636,2014,GA,wilkes,345.5833333,9.241666667,76,3734.5,2.0350783237381176
1637,2015,GA,wilkes,281.1666667,7.225,88,3890.583333,2.2618716132766616
1638,2010,GA,appling,1036.333333,11.85,579,8746.333333,6.619916917817749
1639,2011,GA,appling,1096.833333,12.34166667,1597,8874.833333,17.99470412657495
1640,2012,GA,appling,1007.0,11.19166667,1254,8981.583333,13.961903525323555
1641,2013,GA,appling,932.0833332999998,10.73333333,828,8673.25,9.546594413858704
1642,2014,GA,appling,761.6666667000001,8.8,422,8663.5,4.871010561551336
1643,2015,GA,appling,632.9166667000001,7.291666667,545,8673.333333,6.283627978719586
1644,2010,GA,bulloch,3330.333333,10.04166667,5517,33132.08333,16.651533635992458
1645,2011,GA,bulloch,3521.083333,10.51666667,4724,33499.08333,14.101878411011434
1646,2012,GA,bulloch,3323.5,9.808333333,4862,33925.75,14.33129702364723
1647,2013,GA,bulloch,2967.583333,8.691666667,4425,34176.25,12.947587871694525
1648,2014,GA,bulloch,2519.666667,7.308333332999999,3941,34534.66667,11.411721554050837
1649,2015,GA,bulloch,2103.916667,6.058333332999999,3631,34740.33333,10.45182832734783
1650,2010,GA,candler,435.33333330000005,8.85,532,4916.833333,10.81997220506559
1651,2011,GA,candler,483.66666669999995,9.608333333,388,5032.666667,7.709630414113813
1652,2012,GA,candler,449.5,8.675,454,5186.0,8.754338603933668
1653,2013,GA,candler,416.5,8.15,334,5101.583333,6.546987046932945
1654,2014,GA,candler,349.0833333,6.8833333329999995,364,5073.583333,7.174416504257309
1655,2015,GA,candler,282.25,5.666666667,333,4967.333333,6.7037981483494695
1656,2010,GA,carroll,6055.333333,11.68333333,8054,51817.08333,15.543136514858718
1657,2011,GA,carroll,5896.083333,11.35,6850,51917.08333,13.194115617896749
1658,2012,GA,carroll,5337.166667,10.26666667,6918,52013.0,13.300521023590257
1659,2013,GA,carroll,4988.083333,9.608333333,6717,51854.5,12.953552729271326
1660,2014,GA,carroll,4235.0,8.158333333,7194,51951.33333,13.847575295715705
1661,2015,GA,carroll,3477.75,6.708333333,6561,51791.66667,12.668061141582104
1662,2010,GA,catoosa,2686.25,8.558333333,2686,31350.91667,8.567532580539375
1663,2011,GA,catoosa,2628.75,8.208333332999999,2627,32061.5,8.193627871434586
1664,2012,GA,catoosa,2410.083333,7.483333332999999,2667,32249.91667,8.269788809969041
1665,2013,GA,catoosa,2129.916667,6.725,2577,31645.58333,8.14331647208729
1666,2014,GA,catoosa,1897.9166670000002,6.1166666670000005,3397,31036.16667,10.945295004113987
1667,2015,GA,catoosa,1637.833333,5.216666667,2703,31375.58333,8.614979270888986
1668,2010,GA,chatham,12545.5,9.85,24747,127322.0833,19.436533992057292
1669,2011,GA,chatham,12989.0,10.01666667,24972,129638.6667,19.26277139041264
1670,2012,GA,chatham,12185.16667,9.233333333,22388,131983.3333,16.96274782597872
1671,2013,GA,chatham,10860.75,8.258333333,22627,131359.4167,17.225259192247922
1672,2014,GA,chatham,9587.0,7.275,23071,131711.3333,17.516336234673894
1673,2015,GA,chatham,7783.916667,5.841666667,25033,133265.8333,18.78425953608621
1674,2010,GA,decatur,1548.666667,12.44166667,2108,12445.16667,16.93830268325366
1675,2011,GA,decatur,1447.416667,12.0,1783,12066.08333,14.776957453682696
1676,2012,GA,decatur,1240.333333,10.125,2296,12246.33333,18.74846893457864
1677,2013,GA,decatur,1098.833333,9.475,1972,11574.83333,17.036962380174504
1678,2014,GA,decatur,922.5,8.108333333,4500,11373.91667,39.56420756861409
1679,2015,GA,decatur,773.6666667000001,6.775,1718,11393.25,15.07910385535295
1680,2010,GA,douglas,7466.916667,11.2,9295,66574.41667,13.961819667266488
1681,2011,GA,douglas,7281.583333,10.86666667,8898,66988.25,13.282926483375816
1682,2012,GA,douglas,6437.083333,9.608333333,8581,66984.25,12.810474103987133
1683,2013,GA,douglas,5784.166667,8.583333332999999,8291,67309.0,12.31781782525368
1684,2014,GA,douglas,4984.833333,7.375,8158,67663.75,12.056677319835215
1685,2015,GA,douglas,4326.0,6.325,8438,68339.58333,12.347163369806283
1686,2010,GA,emanuel,1171.5,12.85,808,9117.833333,8.861754437598908
1687,2011,GA,emanuel,1217.75,13.29166667,826,9162.166667,9.015334800392363
1688,2012,GA,emanuel,1122.75,12.35,2468,9089.416667,27.152457527448497
1689,2013,GA,emanuel,1107.333333,12.51666667,1240,8844.833333,14.019484068439937
1690,2014,GA,emanuel,892.9166667000002,10.40833333,1282,8581.416667,14.939258280395068
1691,2015,GA,emanuel,727.3333332999999,8.733333333,1688,8317.416667,20.294762996511547
1692,2010,GA,fayette,4363.083333,8.233333333,3250,52927.16667,6.140513850408233
1693,2011,GA,fayette,4263.916667,8.008333333,3477,53223.41667,6.532838771998363
1694,2012,GA,fayette,4039.5,7.55,3255,53497.16667,6.0844343777655245
1695,2013,GA,fayette,3579.0,6.708333333,3528,53404.66667,6.606164254896191
1696,2014,GA,fayette,3259.916667,6.066666667000001,3325,53749.583329999994,6.18609446623221
1697,2015,GA,fayette,2805.833333,5.191666667,3462,54164.0,6.391699283657042
1698,2010,GA,forsyth,7091.833333,8.008333333,4784,88342.75,5.415271768198296
1699,2011,GA,forsyth,6747.333333,7.408333333,5068,91060.83333,5.565510236035087
1700,2012,GA,forsyth,6208.333333,6.6166666670000005,4028,93750.0,4.2965333333333335
1701,2013,GA,forsyth,5670.0,5.8833333329999995,3894,96486.91667,4.035780325863324
1702,2014,GA,forsyth,5245.333333,5.225,4015,100368.5,4.000259045417636
1703,2015,GA,forsyth,4731.75,4.541666667,3929,104420.3333,3.762677129857428
1704,2010,GA,hancock,711.4166667000001,22.88333333,284,3104.666667,9.147519861590347
1705,2011,GA,hancock,586.1666667000001,19.80833333,284,2961.0,9.591354272205336
1706,2012,GA,hancock,468.16666669999995,16.96666667,254,2757.666667,9.210685360907691
1707,2013,GA,hancock,387.8333333,14.68333333,216,2641.083333,8.178462122005296
1708,2014,GA,hancock,293.4166667,11.625,238,2521.333333,9.43945002768898
1709,2015,GA,hancock,243.75,9.791666667000001,320,2487.833333,12.862597978543928
1710,2010,GA,jenkins,490.75,15.175,226,3228.666667,6.999793515692773
1711,2011,GA,jenkins,460.08333330000005,14.34166667,12,3205.75,0.3743273804881853
1712,2012,GA,jenkins,462.08333330000005,13.725,0,3363.833333,0.0
1713,2013,GA,jenkins,409.8333333,12.30833333,20,3323.333333,0.6018054163091079
1714,2014,GA,jenkins,324.0,9.933333333,0,3260.333333,0.0
1715,2015,GA,jenkins,258.1666667,8.308333333,0,3104.416667,0.0
1716,2010,GA,laurens,2720.333333,13.2,4963,20599.08333,24.093305126699537
1717,2011,GA,laurens,2809.333333,13.83333333,4597,20302.0,22.643089350802875
1718,2012,GA,laurens,2427.333333,12.25,4217,19799.66667,21.29833835227894
1719,2013,GA,laurens,2091.25,10.76666667,3836,19422.66667,19.750120131161168
1720,2014,GA,laurens,1747.0,9.175,3133,19026.41667,16.46657935826652
1721,2015,GA,laurens,1406.916667,7.55,2880,18641.91667,15.449055217775523
1722,2010,GA,lowndes,4898.916667,9.6,8471,51018.83333,16.60367250110931
1723,2011,GA,lowndes,5082.416667,9.916666667000001,7964,51359.41667,15.506406646265361
1724,2012,GA,lowndes,4783.166667,9.125,7437,52459.08333,14.176763160760322
1725,2013,GA,lowndes,4100.333333,8.025,6951,51098.16667,13.603227773103196
1726,2014,GA,lowndes,3654.5,7.2416666670000005,9585,50536.66667,18.966427015436555
1727,2015,GA,lowndes,2973.666667,5.916666667,8458,50365.66667,16.79318583315399
1728,2010,GA,pickens,1540.0,10.975,870,14045.416669999999,6.194191460750734
1729,2011,GA,pickens,1481.333333,10.53333333,1402,14062.833330000001,9.969541465083976
1730,2012,GA,pickens,1261.666667,9.091666667,1210,13898.25,8.70613206698685
1731,2013,GA,pickens,1099.416667,7.941666667000001,1026,13809.0,7.429936997610254
1732,2014,GA,pickens,916.3333332999998,6.6166666670000005,1052,13821.25,7.611467848421814
1733,2015,GA,pickens,738.0833332999999,5.308333333,904,13875.833330000001,6.514924030151923
1734,2010,GA,pulaski,418.3333333,9.225,372,4529.916667,8.21207159747515
1735,2011,GA,pulaski,431.33333330000005,9.616666667,594,4486.666667,13.23922733928386
1736,2012,GA,pulaski,392.9166667,8.983333333,588,4379.416667,13.426445682383386
1737,2013,GA,pulaski,371.25,8.833333332999999,496,4197.333333,11.817026684547097
1738,2014,GA,pulaski,315.5833333,7.766666667000001,506,4061.5,12.458451311091961
1739,2015,GA,pulaski,263.8333333,6.566666667000001,158,4013.0,3.9372040867181655
1740,2010,GA,telfair,771.6666667000001,14.78333333,248,5233.75,4.738476235968474
1741,2011,GA,telfair,699.1666667000001,13.25,216,5282.333333,4.089102038498713
1742,2012,GA,telfair,629.25,11.775,80,5344.333333,1.4969126178193048
1743,2013,GA,telfair,604.4166667000001,11.46666667,46,5295.75,0.8686210640608035
1744,2014,GA,telfair,510.41666669999995,9.741666667,12,5248.25,0.22864764445291288
1745,2015,GA,telfair,419.66666669999995,8.741666667,40,4824.166667,0.8291587492949276
1746,2010,GA,terrell,478.16666669999995,12.20833333,508,3917.333333,12.968005446985023
1747,2011,GA,terrell,461.66666669999995,11.99166667,396,3850.0,10.285714285714285
1748,2012,GA,terrell,409.5,10.9,366,3754.75,9.747652972900992
1749,2013,GA,terrell,357.9166667,9.766666667,432,3664.75,11.787980080496622
1750,2014,GA,terrell,288.5833333,7.966666667,428,3617.666667,11.830830184112152
1751,2015,GA,terrell,270.5833333,7.458333333,588,3631.333333,16.19239948744193
1752,2010,GA,webster,134.33333330000002,12.88333333,0,1043.0,0.0
1753,2011,GA,webster,122.41666670000001,11.475,65,1067.166667,6.090894891116385
1754,2012,GA,webster,105.08333329999999,9.908333333,86,1060.666667,8.10810810555999
1755,2013,GA,webster,95.66666667,9.241666667,38,1035.416667,3.670020119542851
1756,2014,GA,webster,87.83333333,8.641666667,28,1015.666667,2.7568099761218217
1757,2015,GA,webster,90.66666667,9.366666667,6,968.0833332999998,0.6197813549322471
1758,2010,GA,wheeler,293.0833333,15.11666667,234,1936.6666670000002,12.082616176922095
1759,2011,GA,wheeler,291.4166667,14.7,134,1981.4166670000002,6.7628380356205
1760,2012,GA,wheeler,260.8333333,13.3,46,1957.8333329999998,2.349536052157919
1761,2013,GA,wheeler,238.41666669999998,12.59166667,200,1894.0833329999998,10.559197502848203
1762,2014,GA,wheeler,229.41666669999998,12.30833333,102,1865.75,5.466970387243736
1763,2015,GA,wheeler,183.91666669999998,10.85,162,1693.75,9.564575645756458
1764,2010,GA,ben hill,1034.5,15.88333333,476,6515.75,7.305375436442467
1765,2011,GA,ben hill,975.0833332999998,15.58333333,642,6254.166667,10.265156561744694
1766,2012,GA,ben hill,862.25,13.94166667,1195,6182.75,19.327968945857428
1767,2013,GA,ben hill,720.3333332999999,12.45833333,1433,5775.666667,24.8109886290292
1768,2014,GA,ben hill,556.75,9.95,1518,5595.5,27.128942900545084
1769,2015,GA,ben hill,493.16666669999995,8.991666667,1353,5477.5,24.701049748973073
1770,2010,GA,cherokee,9890.666667,8.775,6934,112577.3333,6.159321594092156
1771,2011,GA,cherokee,9301.333333,8.183333333,7160,113843.5833,6.289331196763199
1772,2012,GA,cherokee,8150.916667,7.091666667,6663,115046.3333,5.79157962611921
1773,2013,GA,cherokee,7106.75,6.15,6289,115674.0833,5.436827179074779
1774,2014,GA,cherokee,6441.166667,5.458333333,6842,118001.4167,5.7982354715237925
1775,2015,GA,cherokee,5624.083333,4.683333333,6483,120360.1667,5.3863335169342195
1776,2010,GA,columbia,4495.416667,7.308333332999999,5473,61522.5,8.8959323824617
1777,2011,GA,columbia,4653.083333,7.35,5666,63320.166670000006,8.94817606771154
1778,2012,GA,columbia,4519.916667,6.966666667,5353,64707.583329999994,8.27260071311954
1779,2013,GA,columbia,4248.25,6.466666667,4746,65565.08333,7.2386089652515055
1780,2014,GA,columbia,3841.083333,5.783333333,4452,66428.0,6.701993135424821
1781,2015,GA,columbia,3441.166667,5.016666667,4539,68650.08333,6.611790954689874
1782,2010,GA,crawford,660.3333332999999,11.43333333,1068,5769.583333,18.51086878131066
1783,2011,GA,crawford,625.6666667000001,10.76666667,1143,5806.416667,19.685118474120003
1784,2012,GA,crawford,571.8333332999999,9.8,982,5830.416667,16.8427070668567
1785,2013,GA,crawford,503.41666669999995,8.841666667,830,5688.166667,14.591696210578
1786,2014,GA,crawford,417.6666667,7.441666667000001,651,5611.5,11.601176156107993
1787,2015,GA,crawford,350.5,6.291666667,527,5575.583333,9.451925808029172
1788,2010,GA,glascock,146.33333330000002,11.04166667,40,1323.833333,3.021528390537965
1789,2011,GA,glascock,142.41666669999998,10.66666667,0,1335.666667,0.0
1790,2012,GA,glascock,128.0833333,9.683333333,0,1321.916667,0.0
1791,2013,GA,glascock,122.25,9.466666667,20,1289.5,1.5509887553315238
1792,2014,GA,glascock,101.5,8.0,18,1266.25,1.4215202369200395
1793,2015,GA,glascock,81.66666667,6.6333333329999995,42,1233.416667,3.4051753250712316
1794,2010,GA,mcduffie,1243.416667,13.15833333,542,9447.166667,5.737169874363136
1795,2011,GA,mcduffie,1254.833333,13.33333333,668,9405.083333,7.102542065269758
1796,2012,GA,mcduffie,1178.083333,12.63333333,592,9331.666667,6.3439899979873555
1797,2013,GA,mcduffie,1025.583333,11.28333333,594,9078.25,6.543111282460827
1798,2014,GA,mcduffie,874.3333332999998,9.933333333,488,8797.083333,5.547293137140048
1799,2015,GA,mcduffie,730.5,8.316666667,500,8785.666667,5.691087756357283
1800,2010,GA,mcintosh,663.5833332999999,10.56666667,1035,6288.5,16.458614932018765
1801,2011,GA,mcintosh,657.9166667000001,10.625,850,6188.25,13.735708802973376
1802,2012,GA,mcintosh,588.5,9.766666667,850,6032.083333,14.091317262642333
1803,2013,GA,mcintosh,531.9166667,8.975,624,5930.5,10.521878425090634
1804,2014,GA,mcintosh,460.5,7.825,614,5866.75,10.465760429539353
1805,2015,GA,mcintosh,377.6666667,6.5,770,5819.416667,13.231566737030825
1806,2010,GA,mitchell,1043.5,10.81666667,1489,9645.083333,15.437917419598513
1807,2011,GA,mitchell,954.6666667000002,10.01666667,1545,9522.916667,16.22402100140104
1808,2012,GA,mitchell,853.5,8.866666667,1258,9614.333333,13.084630586731084
1809,2013,GA,mitchell,773.5833332999999,8.575,1164,9015.75,12.91073953913984
1810,2014,GA,mitchell,684.5833332999999,7.816666667000001,1233,8762.25,14.07172815201575
1811,2015,GA,mitchell,586.0833332999999,6.725,1278,8717.166667,14.660726917589404
1812,2010,GA,muscogee,8233.916667,10.075,29151,81717.58333,35.672861105399505
1813,2011,GA,muscogee,8303.666667,10.0,26977,82862.25,32.556441564162206
1814,2012,GA,muscogee,8185.25,9.791666667000001,24658,83616.83333,29.48927747919535
1815,2013,GA,muscogee,7754.416667,9.316666667,27180,83129.16667,32.696105457061954
1816,2014,GA,muscogee,6776.333333,8.4,29138,80811.0,36.05697244187054
1817,2015,GA,muscogee,5883.5,7.45,24973,78897.91667,31.652293310167572
1818,2010,GA,paulding,7383.166667,10.01666667,6549,73735.5,8.88174624163395
1819,2011,GA,paulding,7096.833333,9.55,6805,74316.0,9.156843748317993
1820,2012,GA,paulding,6190.5,8.325,6389,74472.0,8.579063272102266
1821,2013,GA,paulding,5364.416667,7.216666667,6290,74530.33333,8.439516796670686
1822,2014,GA,paulding,4579.916667,6.1166666670000005,6954,74826.83333,9.293457561315725
1823,2015,GA,paulding,3968.5,5.216666667,7165,76338.83333,9.385786614038107
1824,2010,GA,randolph,363.0,12.16666667,136,2979.083333,4.565162662403442
1825,2011,GA,randolph,375.8333333,12.75833333,298,2945.0,10.118845500848897
1826,2012,GA,randolph,354.5,12.49166667,232,2835.833333,8.181016750888158
1827,2013,GA,randolph,288.0833333,10.3,334,2790.416667,11.969538597943014
1828,2014,GA,randolph,262.1666667,9.658333333,270,2718.333333,9.932556714890564
1829,2015,GA,randolph,220.58333330000002,9.108333333,226,2425.25,9.318626945675703
1830,2010,GA,richmond,9677.5,11.01666667,31526,87886.0,35.87146985868056
1831,2011,GA,richmond,9951.0,11.25,29241,88509.91667,33.03697608147347
1832,2012,GA,richmond,9399.5,10.60833333,25469,88449.16667,28.79507061386314
