,Year,State,County,Average Number Unemployed,Average Percent Unemployed,Number of Crimes,Total Labor Force,Crimes Per 100 Workers
289,2011,AR,yell,718.5833332999999,7.4916666670000005,1035,9605.0,10.7756376887038
290,2012,AR,yell,623.9166667000001,6.733333332999999,1042,9265.666667,11.24581789361277
291,2013,AR,yell,594.0,6.558333332999999,1164,9065.416667,12.840005514994163
292,2014,AR,yell,508.25,5.625,1027,9035.833333,11.365858157755818
293,2015,AR,yell,454.5,5.075,823,8940.333333,9.205473323485531
294,2010,AR,boone,1293.333333,7.825,1844,16519.08333,11.162847012528507
295,2011,AR,boone,1329.75,7.958333333,2162,16696.83333,12.948563103372607
296,2012,AR,boone,1258.75,7.625,2473,16522.25,14.967695077849566
297,2013,AR,boone,1125.666667,7.025,2321,16047.333330000001,14.463462260492596
298,2014,AR,boone,936.8333332999998,5.983333332999999,2369,15663.75,15.12409225121698
299,2015,AR,boone,772.25,4.875,2883,15844.083330000001,18.196066884735323
300,2010,AR,clark,874.9166667000002,8.575,1614,10211.91667,15.805064339601588
301,2011,AR,clark,1074.25,10.41666667,1529,10335.33333,14.793910860734668
302,2012,AR,clark,1021.75,10.08333333,1585,10139.41667,15.632062983362927
303,2013,AR,clark,893.0,9.0,1288,9922.833333,12.98016359618322
304,2014,AR,clark,662.6666667000001,6.958333333,1145,9521.5,12.02541616341963
305,2015,AR,clark,524.5833333,5.566666667000001,1260,9452.666667,13.329571901638706
306,2010,AR,cross,715.1666667000001,8.3,855,8618.5,9.920519812032257
307,2011,AR,cross,739.75,8.375,873,8832.0,9.884510869565217
308,2012,AR,cross,677.4166667000001,7.941666667000001,1011,8531.833333,11.849739212433816
309,2013,AR,cross,620.9166667000001,7.55,1440,8207.083333,17.545819160990845
310,2014,AR,cross,514.0833333,6.341666667,1688,8097.916667,20.84486750621683
311,2015,AR,cross,437.66666669999995,5.4,1492,8100.333333,18.418995103840132
312,2010,AR,desha,654.5,11.15833333,826,5883.666667,14.038864652765346
313,2011,AR,desha,686.5833332999999,11.18333333,666,6150.25,10.828828096418846
314,2012,AR,desha,587.25,9.9,695,5930.25,11.719573373803803
315,2013,AR,desha,543.75,9.625,668,5643.333333,11.83697578333355
316,2014,AR,desha,447.75,8.066666667,627,5552.166667,11.292888661405884
317,2015,AR,desha,405.0,7.308333332999999,514,5546.583333,9.266966150889704
318,2010,AR,izard,517.3333333,10.08333333,266,5139.25,5.175852507661624
319,2011,AR,izard,518.8333333,9.925,377,5232.25,7.205313201777439
320,2012,AR,izard,453.75,8.791666667000001,701,5162.416667,13.57891168454187
321,2013,AR,izard,431.83333330000005,8.641666667,555,5002.0,11.095561775289884
322,2014,AR,izard,369.5,7.525,717,4916.416667,14.583792395234754
323,2015,AR,izard,328.8333333,6.608333332999999,573,4978.666667,11.509105516101425
324,2010,AR,sharp,618.5,9.808333333,18,6308.083333,0.28534816440732647
325,2011,AR,sharp,674.9166667000001,10.73333333,32,6294.083333,0.5084139867075382
326,2012,AR,sharp,619.3333332999999,10.14166667,53,6105.416667,0.8680816214635593
327,2013,AR,sharp,585.5833332999999,9.716666667,14,6018.833333,0.23260321769072653
328,2014,AR,sharp,503.75,8.416666667000001,12,5968.416667,0.20105834879708137
329,2015,AR,sharp,413.25,6.8833333329999995,42,6003.916667,0.6995433536053108
330,2010,AR,stone,419.0,7.625,397,5521.666667,7.1898581341871495
331,2011,AR,stone,483.08333330000005,8.958333332999999,453,5402.5,8.385006941230913
332,2012,AR,stone,416.1666667,8.241666667,484,5051.666667,9.580996370202508
333,2013,AR,stone,402.6666667,8.383333333,767,4802.166667,15.971957101588035
334,2014,AR,stone,357.75,7.625,596,4700.916667,12.67837832956846
335,2015,AR,stone,293.75,6.2583333329999995,535,4704.916667,11.37108344027552
336,2010,AR,white,3004.5,8.258333333,5579,36441.75,15.309363573373947
337,2011,AR,white,3188.25,8.675,5643,36767.83333,15.347654427588214
