,Year,county,state,count
185,2010,CAMPBELL,VA,1944
186,2010,CANYON,ID,9282
187,2010,CAPE GIRARDEAU,MO,6981
188,2010,CARBON,MT,282
189,2010,CARBON,UT,1308
190,2010,CARIBOU,ID,80
191,2010,CARLTON,MN,1777
192,2010,CAROLINE,MD,2288
193,2010,CAROLINE,VA,1000
194,2010,CARROLL,AR,1469
195,2010,CARROLL,IA,300
196,2010,CARROLL,IL,493
197,2010,CARROLL,IN,555
198,2010,CARROLL,MD,6135
199,2010,CARROLL,MO,203
200,2010,CARROLL,MS,177
201,2010,CARROLL,VA,1083
202,2010,CARSON,TX,156
203,2010,CARTER,MO,96
204,2010,CARTER,MT,10
205,2010,CARTERET,NC,4983
206,2010,CARVER,MN,2182
207,2010,CASCADE,MT,6396
208,2010,CASS,IA,492
209,2010,CASS,IL,147
210,2010,CASS,IN,2290
211,2010,CASS,MI,2379
212,2010,CASS,MN,2193
213,2010,CASS,MO,3880
214,2010,CASS,ND,7810
215,2010,CASS,TX,1658
216,2010,CASSIA,ID,974
217,2010,CASTRO,TX,601
218,2010,CASWELL,NC,1123
219,2010,CATAWBA,NC,6459
220,2010,CAVALIER,ND,76
221,2010,CECIL,MD,8192
222,2010,CEDAR,IA,303
223,2010,CEDAR,MO,721
224,2010,CERRO GORDO,IA,2539
225,2010,CHAMBERS,AL,2894
226,2010,CHAMBERS,TX,1524
227,2010,CHAMPAIGN,IL,12747
228,2010,CHARITON,MO,266
229,2010,CHARLES,MD,8884
230,2010,CHARLES CITY,VA,89
231,2010,CHARLEVOIX,MI,965
232,2010,CHARLOTTE,VA,262
233,2010,CHATHAM,NC,2764
234,2010,CHEBOYGAN,MI,1167
235,2010,CHEROKEE,AL,1550
236,2010,CHEROKEE,IA,399
237,2010,CHEROKEE,NC,331
238,2010,CHEROKEE,TX,3411
239,2010,CHESTERFIELD,VA,15203
240,2010,CHICKASAW,IA,61
241,2010,CHICKASAW,MS,178
242,2010,CHICOT,AR,523
243,2010,CHILDRESS,TX,228
244,2010,CHILTON,AL,2401
245,2010,CHIPPEWA,MI,2106
246,2010,CHIPPEWA,MN,392
247,2010,CHISAGO,MN,2492
248,2010,CHOCTAW,AL,161
249,2010,CHOCTAW,MS,196
250,2010,CHOUTEAU,MT,94
251,2010,CHOWAN,NC,783
252,2010,CHRISTIAN,IL,543
253,2010,CHRISTIAN,MO,2895
254,2010,CLAIBORNE,MS,320
255,2010,CLARE,MI,214
256,2010,CLARK,AR,1614
257,2010,CLARK,ID,12
258,2010,CLARK,IL,226
259,2010,CLARK,IN,9257
260,2010,CLARK,MO,160
261,2010,CLARKE,AL,761
262,2010,CLARKE,IA,305
263,2010,CLARKE,MS,0
264,2010,CLARKE,VA,413
265,2010,CLAY,AL,208
266,2010,CLAY,AR,296
267,2010,CLAY,IA,677
268,2010,CLAY,IL,426
269,2010,CLAY,IN,520
270,2010,CLAY,MN,2371
271,2010,CLAY,MO,4601
272,2010,CLAY,MS,745
273,2010,CLAY,NC,390
274,2010,CLAY,TX,281
275,2010,CLAYTON,IA,122
276,2010,CLEARWATER,ID,353
277,2010,CLEARWATER,MN,470
278,2010,CLEBURNE,AL,616
279,2010,CLEBURNE,AR,1664
280,2010,CLEVELAND,AR,241
281,2010,CLEVELAND,NC,5557
282,2010,CLINTON,IA,3380
283,2010,CLINTON,IL,668
284,2010,CLINTON,IN,2289
285,2010,CLINTON,MI,1501
286,2010,CLINTON,MO,502
287,2010,COAHOMA,MS,2539
288,2010,COCHRAN,TX,147
289,2010,COFFEE,AL,753
290,2010,COKE,TX,34
291,2010,COLBERT,AL,2833
292,2010,COLE,MO,909
293,2010,COLEMAN,TX,598
294,2010,COLES,IL,2365
295,2010,COLLIN,TX,13377
296,2010,COLLINGSWORTH,TX,0
297,2010,COLORADO,TX,820
298,2010,COLUMBIA,AR,1461
299,2010,COLUMBUS,NC,4853
300,2010,COMAL,TX,2461
301,2010,COMANCHE,TX,814
302,2010,CONCHO,TX,34
303,2010,CONECUH,AL,752
304,2010,CONWAY,AR,1736
305,2010,COOK,IL,414324
306,2010,COOK,MN,351
307,2010,COOKE,TX,2215
308,2010,COOPER,MO,909
309,2010,COOSA,AL,2
310,2010,COPIAH,MS,383
311,2010,CORYELL,TX,782
312,2010,COTTLE,TX,50
313,2010,COTTONWOOD,MN,296
314,2010,COVINGTON,AL,1719
315,2010,COVINGTON,MS,468
316,2010,CRAIG,VA,44
317,2010,CRAIGHEAD,AR,7658
318,2010,CRANE,TX,138
319,2010,CRAVEN,NC,7305
320,2010,CRAWFORD,AR,3511
321,2010,CRAWFORD,IA,208
322,2010,CRAWFORD,IL,207
323,2010,CRAWFORD,IN,197
324,2010,CRAWFORD,MI,710
325,2010,CRAWFORD,MO,1055
326,2010,CRENSHAW,AL,346
327,2010,CRITTENDEN,AR,8556
328,2010,CROCKETT,TX,0
329,2010,CROSBY,TX,164
330,2010,CROSS,AR,855
331,2010,CROW WING,MN,2740
332,2010,CULBERSON,TX,30
333,2010,CULLMAN,AL,4229
334,2010,CULPEPER,VA,1593
335,2010,CUMBERLAND,IL,135
336,2010,CUMBERLAND,ME,15808
337,2010,CUMBERLAND,NC,39155
338,2010,CUMBERLAND,VA,110
339,2010,CURRITUCK,NC,1377
340,2010,CUSTER,ID,0
341,2010,CUSTER,MT,535
342,2010,DADE,MO,137
343,2010,DAGGETT,UT,38
344,2010,DAKOTA,MN,17461
345,2010,DALE,AL,2160
346,2010,DALLAM,TX,54
347,2010,DALLAS,AL,3401
348,2010,DALLAS,AR,343
349,2010,DALLAS,IA,1260
350,2010,DALLAS,MO,677
351,2010,DALLAS,TX,38138
352,2010,DANIELS,MT,14
353,2010,DARE,NC,3515
354,2010,DAVIDSON,NC,6039
355,2010,DAVIE,NC,2064
356,2010,DAVIESS,IN,1413
357,2010,DAVIESS,MO,176
358,2010,DAVIS,IA,76
359,2010,DAVIS,UT,15241
360,2010,DAWSON,MT,432
361,2010,DAWSON,TX,574
362,2010,DE WITT,IL,17
